oopsla 2017项目数据,,,,,,,,,,,,,,,,,
seq,project,file path,file name,line number,modified java files,git command, commit link,,,,,,,,,,
17,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L597-L597,12,git diff 1cf64771e786b178ceb92dc6a4a08cf8225a3b2b 8e3c5bb35b8de490fe69c7f18fba3c32cac69227 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/8e3c5bb35b8de490fe69c7f18fba3c32cac69227,,,,,,,,,无关,
18,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L598-L598,12,git diff 1cf64771e786b178ceb92dc6a4a08cf8225a3b2b 8e3c5bb35b8de490fe69c7f18fba3c32cac69227 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/8e3c5bb35b8de490fe69c7f18fba3c32cac69227,,,,,,,,,无关,
19,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L599-L599,12,git diff 1cf64771e786b178ceb92dc6a4a08cf8225a3b2b 8e3c5bb35b8de490fe69c7f18fba3c32cac69227 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/8e3c5bb35b8de490fe69c7f18fba3c32cac69227,,,,,,,,,无关,
20,apache/geode,geode-core/src/test/java/org/apache/geode/internal/cache/ha/Bug48571DUnitTest.java,Bug48571DUnitTest.java,L85-L85,6,git diff 1b985b022b28a26608d46cb32cb8e16924fdf649 69143c14f43f8cee514e36630bb495b3c106bcec geode-core/src/test/java/org/apache/geode/internal/cache/ha/Bug48571DUnitTest.java,https://github.com/apache/geode/commit/69143c14f43f8cee514e36630bb495b3c106bcec,,,,,,,,,无关,
21,apache/geode,geode-core/src/test/java/org/apache/geode/internal/cache/ha/Bug48571DUnitTest.java,Bug48571DUnitTest.java,L86-L86,6,git diff 1b985b022b28a26608d46cb32cb8e16924fdf649 69143c14f43f8cee514e36630bb495b3c106bcec geode-core/src/test/java/org/apache/geode/internal/cache/ha/Bug48571DUnitTest.java,https://github.com/apache/geode/commit/69143c14f43f8cee514e36630bb495b3c106bcec,,,,,,,,,无关,
22,asciidocfx/AsciidocFX,src/main/java/com/kodcu/service/convert/docbook/DocBookConverter.java,DocBookConverter.java,L62-L94,6,git diff 5e44807c96034df69ef6374af8c278ab7ce69d83 8f36bc36c8a6f6853401c6a983660d88e505cf33 src/main/java/com/kodcu/service/convert/docbook/DocBookConverter.java,https://github.com/asciidocfx/AsciidocFX/commit/8f36bc36c8a6f6853401c6a983660d88e505cf33,,,,,,,,,无关,
23,asciidocfx/AsciidocFX,src/main/java/com/kodcu/service/convert/html/HtmlBookConverter.java,HtmlBookConverter.java,L79-L102,6,git diff 5e44807c96034df69ef6374af8c278ab7ce69d83 8f36bc36c8a6f6853401c6a983660d88e505cf33 src/main/java/com/kodcu/service/convert/html/HtmlBookConverter.java,https://github.com/asciidocfx/AsciidocFX/commit/8f36bc36c8a6f6853401c6a983660d88e505cf33,,,,,,,,,无关,
24,asciidocfx/AsciidocFX,src/main/java/com/kodcu/controller/ApplicationController.java,ApplicationController.java,L1415-L1415,7,git diff 1fef23857d9cc837cae998f56119a1e3debc1351 bffaf1756103aa7a3851ee20c9eb2a6dc6c0d71f src/main/java/com/kodcu/controller/ApplicationController.java,https://github.com/asciidocfx/AsciidocFX/commit/bffaf1756103aa7a3851ee20c9eb2a6dc6c0d71f,,,,,,,,,无关,
25,asciidocfx/AsciidocFX,src/main/java/com/kodcu/controller/ApplicationController.java,ApplicationController.java,L1416-L1416,7,git diff 1fef23857d9cc837cae998f56119a1e3debc1351 bffaf1756103aa7a3851ee20c9eb2a6dc6c0d71f src/main/java/com/kodcu/controller/ApplicationController.java,https://github.com/asciidocfx/AsciidocFX/commit/bffaf1756103aa7a3851ee20c9eb2a6dc6c0d71f,,,,,,,,,无关,
26,asciidocfx/AsciidocFX,src/main/java/com/kodcu/controller/AsciiDocController.java,AsciiDocController.java,L845-L847,4,git diff 0e0c11ed1fad329c755fd04f9825646ac7f3cd21 8ddc794705b70b77fe42fe46401ba0ea94d3ab00 src/main/java/com/kodcu/controller/AsciiDocController.java,https://github.com/asciidocfx/AsciidocFX/commit/8ddc794705b70b77fe42fe46401ba0ea94d3ab00,,,,,,,,,无关,
27,eclipse-vertx/vert.x,src/main/java/io/vertx/core/http/impl/Http1xClientConnection.java,Http1xClientConnection.java,L266-L266,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/http/impl/Http1xClientConnection.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
28,eclipse-vertx/vert.x,src/main/java/io/vertx/core/http/impl/Http1xClientConnection.java,Http1xClientConnection.java,L390-L390,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/http/impl/Http1xClientConnection.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
29,eclipse-vertx/vert.x,src/main/java/io/vertx/core/http/impl/Http1xServerConnection.java,Http1xServerConnection.java,L207-L210,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/http/impl/Http1xServerConnection.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
30,eclipse-vertx/vert.x,src/main/java/io/vertx/core/http/impl/Http2ClientConnection.java,Http2ClientConnection.java,L537-L537,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/http/impl/Http2ClientConnection.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
31,eclipse-vertx/vert.x,src/main/java/io/vertx/core/http/impl/Http2ServerConnection.java,Http2ServerConnection.java,L140-L140,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/http/impl/Http2ServerConnection.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
32,eclipse-vertx/vert.x,src/main/java/io/vertx/core/http/impl/Http2ServerConnection.java,Http2ServerConnection.java,L234-L234,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/http/impl/Http2ServerConnection.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
33,eclipse-vertx/vert.x,src/main/java/io/vertx/core/http/impl/HttpChannelConnector.java,HttpChannelConnector.java,L216-L226,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/http/impl/HttpChannelConnector.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
34,eclipse-vertx/vert.x,src/main/java/io/vertx/core/http/impl/HttpServerChannelInitializer.java,HttpServerChannelInitializer.java,L256-L256,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/http/impl/HttpServerChannelInitializer.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
35,eclipse-vertx/vert.x,src/main/java/io/vertx/core/net/impl/VertxHandler.java,VertxHandler.java,L134-L134,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/net/impl/VertxHandler.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
36,eclipse-vertx/vert.x,src/main/java/io/vertx/core/net/impl/VertxHandler.java,VertxHandler.java,L143-L151,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/net/impl/VertxHandler.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
37,eclipse-vertx/vert.x,src/main/java/io/vertx/core/net/impl/VertxHandler.java,VertxHandler.java,L162-L162,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/net/impl/VertxHandler.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
38,eclipse-vertx/vert.x,src/main/java/io/vertx/core/net/impl/VertxHandler.java,VertxHandler.java,L179-L179,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/main/java/io/vertx/core/net/impl/VertxHandler.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
39,eclipse-vertx/vert.x,src/test/java/io/vertx/core/http/Http2Test.java,Http2Test.java,L244-L247,39,git diff c7c18b1e37e38f1f38d69c512085aed0cbe97e0e 4f23ce260d0ba86283c5669b8e6f4e094805cd23 src/test/java/io/vertx/core/http/Http2Test.java,https://github.com/eclipse-vertx/vert.x/commit/4f23ce260d0ba86283c5669b8e6f4e094805cd23,,,,,,,,,,
40,eclipse-vertx/vert.x,src/main/java/io/vertx/core/net/impl/NetServerImpl.java,NetServerImpl.java,L205-L218,6,git diff b770dccdf3ee84c2efaedee00d0d94f3242bbfbc df4a3dd3fdc32c384ef9c677cd191db22564f7f3 src/main/java/io/vertx/core/net/impl/NetServerImpl.java,https://github.com/eclipse-vertx/vert.x/commit/df4a3dd3fdc32c384ef9c677cd191db22564f7f3,,,,,,,,,,
41,elastic/elasticsearch,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,BlobStoreRepository.java,L642-L642,21,git diff aacf62487465d1c656ddcb30ab50d4489854b80a d333dacb4abb14a58b36f3108521547ee374a06a server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,https://github.com/elastic/elasticsearch/commit/d333dacb4abb14a58b36f3108521547ee374a06a,,,,,,,,,,
42,elastic/elasticsearch,x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/inference/loadingservice/LocalModel.java,LocalModel.java,L117-L117,31,git diff 1f28bd07a34664804ee85c2c4a18aa766c589d45 78fcd0581d2981b48dfac5c63047e7fd14a248e8 x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/inference/loadingservice/LocalModel.java,https://github.com/elastic/elasticsearch/commit/78fcd0581d2981b48dfac5c63047e7fd14a248e8,,,,,,,,,,
43,elastic/elasticsearch,x-pack/plugin/ml/src/test/java/org/elasticsearch/xpack/ml/inference/loadingservice/ModelLoadingServiceTests.java,ModelLoadingServiceTests.java,L387-L387,31,git diff 1f28bd07a34664804ee85c2c4a18aa766c589d45 78fcd0581d2981b48dfac5c63047e7fd14a248e8 x-pack/plugin/ml/src/test/java/org/elasticsearch/xpack/ml/inference/loadingservice/ModelLoadingServiceTests.java,https://github.com/elastic/elasticsearch/commit/78fcd0581d2981b48dfac5c63047e7fd14a248e8,,,,,,,,,,
44,elastic/elasticsearch,plugins/repository-gcs/src/main/java/org/elasticsearch/repositories/gcs/GoogleCloudStorageService.java,GoogleCloudStorageService.java,L106-L107,10,git diff 36050bb420144707b2c5b4f07d4841d07a1cd52a c298598ab065f6ed6fb47da3bf01d3a779b53c7f plugins/repository-gcs/src/main/java/org/elasticsearch/repositories/gcs/GoogleCloudStorageService.java,https://github.com/elastic/elasticsearch/commit/c298598ab065f6ed6fb47da3bf01d3a779b53c7f,,,,,,,,,,
45,elastic/elasticsearch,server/src/test/java/org/elasticsearch/indices/recovery/IndexRecoveryIT.java,IndexRecoveryIT.java,L804-L807,1,git diff 8707cf21000c9efed64581956ea453d45ac16b28 f289847c0071f886579f2985de837ae08fae2147 server/src/test/java/org/elasticsearch/indices/recovery/IndexRecoveryIT.java,https://github.com/elastic/elasticsearch/commit/f289847c0071f886579f2985de837ae08fae2147,,,,,,,,,噪声,
46,elastic/elasticsearch,x-pack/plugin/async-search/src/main/java/org/elasticsearch/xpack/search/AsyncSearchIndexService.java,AsyncSearchIndexService.java,L191-L191,6,git diff dd72ccbe277eb4d16c984ab3b4c7d04b21db739b 1b694776ed8b517581ea28f8ee556ce8176d53ae x-pack/plugin/async-search/src/main/java/org/elasticsearch/xpack/search/AsyncSearchIndexService.java,https://github.com/elastic/elasticsearch/commit/1b694776ed8b517581ea28f8ee556ce8176d53ae,,,,,,,,,,
47,elastic/elasticsearch,x-pack/plugin/async-search/src/main/java/org/elasticsearch/xpack/search/AsyncSearchIndexService.java,AsyncSearchIndexService.java,L205-L205,6,git diff dd72ccbe277eb4d16c984ab3b4c7d04b21db739b 1b694776ed8b517581ea28f8ee556ce8176d53ae x-pack/plugin/async-search/src/main/java/org/elasticsearch/xpack/search/AsyncSearchIndexService.java,https://github.com/elastic/elasticsearch/commit/1b694776ed8b517581ea28f8ee556ce8176d53ae,,,,,,,,,,
48,elastic/elasticsearch,x-pack/plugin/async-search/src/main/java/org/elasticsearch/xpack/search/TransportSubmitAsyncSearchAction.java,TransportSubmitAsyncSearchAction.java,L145-L145,6,git diff dd72ccbe277eb4d16c984ab3b4c7d04b21db739b 1b694776ed8b517581ea28f8ee556ce8176d53ae x-pack/plugin/async-search/src/main/java/org/elasticsearch/xpack/search/TransportSubmitAsyncSearchAction.java,https://github.com/elastic/elasticsearch/commit/1b694776ed8b517581ea28f8ee556ce8176d53ae,,,,,,,,,,
49,elastic/elasticsearch,x-pack/plugin/eql/src/main/java/org/elasticsearch/xpack/eql/optimizer/Optimizer.java,Optimizer.java,L69-L69,3,git diff 9e9632d41a39877256c68634ab18e441f4b67fe8 3231d01b0c583deb89252fafe84db48878da3246 x-pack/plugin/eql/src/main/java/org/elasticsearch/xpack/eql/optimizer/Optimizer.java,https://github.com/elastic/elasticsearch/commit/3231d01b0c583deb89252fafe84db48878da3246,,,,,,,,,无关,
50,elastic/elasticsearch,server/src/test/java/org/elasticsearch/indices/recovery/RecoverySourceHandlerTests.java,RecoverySourceHandlerTests.java,L689-L689,11,git diff 40ef7855b14966ace70a8957633835adfdc580cc cec6678587ee09bf6470fccd773cc32ea8517bc9 server/src/test/java/org/elasticsearch/indices/recovery/RecoverySourceHandlerTests.java,https://github.com/elastic/elasticsearch/commit/cec6678587ee09bf6470fccd773cc32ea8517bc9,,,,,,,,,,
51,elastic/elasticsearch,server/src/test/java/org/elasticsearch/indices/recovery/RecoverySourceHandlerTests.java,RecoverySourceHandlerTests.java,L689-L689,11,git diff 40ef7855b14966ace70a8957633835adfdc580cc cec6678587ee09bf6470fccd773cc32ea8517bc9 server/src/test/java/org/elasticsearch/indices/recovery/RecoverySourceHandlerTests.java,https://github.com/elastic/elasticsearch/commit/cec6678587ee09bf6470fccd773cc32ea8517bc9,,,,,,,,,,
52,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L118-L118,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
53,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L204-L204,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
54,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L209-L209,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
55,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L237-L237,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
56,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L261-L261,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
57,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L266-L266,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
58,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L288-L288,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
59,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L320-L320,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
60,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L327-L327,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
61,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,QueryPhaseTests.java,L365-L365,9,git diff e9ba2521768c03669d305b9340404f723289563a fa8b48deefbec1eb58161252552628a1a0866e5f server/src/test/java/org/elasticsearch/search/query/QueryPhaseTests.java,https://github.com/elastic/elasticsearch/commit/fa8b48deefbec1eb58161252552628a1a0866e5f,,,,,,,,,,
