sequence,project,file path,file name,line number,git command,commit link,,,,,,,,,
13,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L184 - L186,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
14,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L208 - L210,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
15,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L218 - L220,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
16,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L291 - L293,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
17,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L317 - L319,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
18,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L327 - L329,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
19,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L336 - L338,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
20,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L345 - L347,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
21,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L360 - L362,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
22,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L369 - L371,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
23,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L379 - L381,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
24,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,SimpleCamelContext.java,L423 - L425,git diff ba757ce 0a94e0f core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/SimpleCamelContext.java,https://github.com/apache/camel/commit/0a94e0f2ecf8aa381cde59af8f762674d29f3281,,,,,,,,,reduce memory and reduce classes loaded
25,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/TypeConverterLoaderGeneratorMojo.java,TypeConverterLoaderGeneratorMojo.java,L299 - L299,git diff c736c07 0bb1396 tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/TypeConverterLoaderGeneratorMojo.java,https://github.com/apache/camel/commit/0bb139662a88c7876a9545c5b1bea16b040a2a99,,,,,,,,,lambda to method reference
26,apache/camel,components/camel-mock/src/main/java/org/apache/camel/component/mock/MockEndpoint.java,MockEndpoint.java,L353 - L356,git diff ac72165 f49b4e1 components/camel-mock/src/main/java/org/apache/camel/component/mock/MockEndpoint.java,https://github.com/apache/camel/commit/f49b4e1144cdcc1026632d23cdbe72aca4cb5733,,,,,,,,,Optimize expressions to eager init if possible
27,apache/camel,components/camel-mock/src/main/java/org/apache/camel/component/mock/MockEndpoint.java,MockEndpoint.java,L366 - L369,git diff ac72165 f49b4e1 components/camel-mock/src/main/java/org/apache/camel/component/mock/MockEndpoint.java,https://github.com/apache/camel/commit/f49b4e1144cdcc1026632d23cdbe72aca4cb5733,,,,,,,,,Optimize expressions to eager init if possible
28,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/function/Suppliers.java,Suppliers.java,L32 - L44,git diff b788422 67f7d67 core/camel-util/src/main/java/org/apache/camel/util/function/Suppliers.java,https://github.com/apache/camel/commit/67f7d6799933f1744e7bcfd835893492094590cf,,,,,,,,,
29,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/function/Suppliers.java,Suppliers.java,L49 - L65,git diff b788422 67f7d67 core/camel-util/src/main/java/org/apache/camel/util/function/Suppliers.java,https://github.com/apache/camel/commit/67f7d6799933f1744e7bcfd835893492094590cf,,,,,,,,,
30,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/function/ThrowingHelper.java,ThrowingHelper.java,L32 - L38,git diff b788422 67f7d67 core/camel-util/src/main/java/org/apache/camel/util/function/ThrowingHelper.java,https://github.com/apache/camel/commit/67f7d6799933f1744e7bcfd835893492094590cf,,,,,,,,,
31,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/function/ThrowingHelper.java,ThrowingHelper.java,L42 - L48,git diff b788422 67f7d67 core/camel-util/src/main/java/org/apache/camel/util/function/ThrowingHelper.java,https://github.com/apache/camel/commit/67f7d6799933f1744e7bcfd835893492094590cf,,,,,,,,,
32,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/function/ThrowingHelper.java,ThrowingHelper.java,L52 - L58,git diff b788422 67f7d67 core/camel-util/src/main/java/org/apache/camel/util/function/ThrowingHelper.java,https://github.com/apache/camel/commit/67f7d6799933f1744e7bcfd835893492094590cf,,,,,,,,,
33,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/function/ThrowingHelper.java,ThrowingHelper.java,L62 - L69,git diff b788422 67f7d67 core/camel-util/src/main/java/org/apache/camel/util/function/ThrowingHelper.java,https://github.com/apache/camel/commit/67f7d6799933f1744e7bcfd835893492094590cf,,,,,,,,,
34,apache/camel,core/camel-main/src/main/java/org/apache/camel/main/BaseMainSupport.java,BaseMainSupport.java,L466 - L466,git diff 96034dd 9f0462a core/camel-main/src/main/java/org/apache/camel/main/BaseMainSupport.java,https://github.com/apache/camel/commit/9f0462ab3eb879a3af87ae001269c30d76a051dd,,,,,,,,,
35,apache/camel,core/camel-main/src/main/java/org/apache/camel/main/BaseMainSupport.java,BaseMainSupport.java,L1049 - L1049,git diff d7087ef 7fd193d core/camel-main/src/main/java/org/apache/camel/main/BaseMainSupport.java,https://github.com/apache/camel/commit/7fd193dcabdf0c8e5fee002cb7785347d1513da1,,,,,,,,,
36,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/GenerateConfigurerMojo.java,GenerateConfigurerMojo.java,L112 - L116,git diff 98ab567 be51f95 tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/GenerateConfigurerMojo.java,https://github.com/apache/camel/commit/be51f95b47bc80c01364a019f2d7cc2e2a1218d9,,,,,,,,,
37,apache/camel,core/camel-main/src/main/java/org/apache/camel/main/BaseMainSupport.java,BaseMainSupport.java,L882 - L900,git diff 1723132 0d6370e core/camel-main/src/main/java/org/apache/camel/main/BaseMainSupport.java,https://github.com/apache/camel/commit/0d6370ee3062fe6aecadfa88fef8bdc5e4e1eb4a,,,,,,,,,
38,apache/camel,core/camel-main/src/main/java/org/apache/camel/main/BaseMainSupport.java,BaseMainSupport.java,L1015 - L1019,git diff 65898eb ec6c927 core/camel-main/src/main/java/org/apache/camel/main/BaseMainSupport.java,https://github.com/apache/camel/commit/ec6c9274787d2ada1bb02858804e91ead2f5eb00,,,,,,,,,
39,apache/camel,core/camel-health/src/test/java/org/apache/camel/impl/health/DefaultHealthCheckRegistryTest.java,DefaultHealthCheckRegistryTest.java,L39 - L39,git diff 2767db3 49bbe86 core/camel-health/src/test/java/org/apache/camel/impl/health/DefaultHealthCheckRegistryTest.java,https://github.com/apache/camel/commit/49bbe860fa701f24e5d7168dd6558925a325ab07,,,,,,,,,
40,apache/camel,core/camel-health/src/test/java/org/apache/camel/impl/health/DefaultHealthCheckRegistryTest.java,DefaultHealthCheckRegistryTest.java,L73 - L73,git diff 2767db3 49bbe86 core/camel-health/src/test/java/org/apache/camel/impl/health/DefaultHealthCheckRegistryTest.java,https://github.com/apache/camel/commit/49bbe860fa701f24e5d7168dd6558925a325ab07,,,,,,,,,
41,apache/camel,core/camel-health/src/test/java/org/apache/camel/impl/health/DefaultHealthCheckRegistryTest.java,DefaultHealthCheckRegistryTest.java,L77 - L77,git diff 2767db3 49bbe86 core/camel-health/src/test/java/org/apache/camel/impl/health/DefaultHealthCheckRegistryTest.java,https://github.com/apache/camel/commit/49bbe860fa701f24e5d7168dd6558925a325ab07,,,,,,,,,
42,apache/camel,core/camel-health/src/test/java/org/apache/camel/impl/health/DefaultHealthCheckRegistryTest.java,DefaultHealthCheckRegistryTest.java,L78 - L78,git diff 2767db3 49bbe86 core/camel-health/src/test/java/org/apache/camel/impl/health/DefaultHealthCheckRegistryTest.java,https://github.com/apache/camel/commit/49bbe860fa701f24e5d7168dd6558925a325ab07,,,,,,,,,
43,apache/camel,core/camel-api/src/main/java/org/apache/camel/health/HealthCheckHelper.java,HealthCheckHelper.java,L94 - L94,git diff 56208b6 b1bf0b3 core/camel-api/src/main/java/org/apache/camel/health/HealthCheckHelper.java,https://github.com/apache/camel/commit/b1bf0b36995f6cc3dab6789df19c94138454581e,,,,,,,,,
44,apache/camel,core/camel-api/src/main/java/org/apache/camel/health/HealthCheckHelper.java,HealthCheckHelper.java,L131 - L131,git diff 56208b6 b1bf0b3 core/camel-api/src/main/java/org/apache/camel/health/HealthCheckHelper.java,https://github.com/apache/camel/commit/b1bf0b36995f6cc3dab6789df19c94138454581e,,,,,,,,,
45,apache/camel,components/camel-bindy/src/main/java/org/apache/camel/dataformat/bindy/UnicodeHelper.java,UnicodeHelper.java,L137 - L137,git diff 5476b60 45c9f94 components/camel-bindy/src/main/java/org/apache/camel/dataformat/bindy/UnicodeHelper.java,https://github.com/apache/camel/commit/45c9f949008fd0d2a97685f8228ebbce35cb8de4,,,,,,,,,
46,apache/camel,components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/UnicodeHelperTest.java,UnicodeHelperTest.java,L181 - L183,git diff 5476b60 45c9f94 components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/UnicodeHelperTest.java,https://github.com/apache/camel/commit/45c9f949008fd0d2a97685f8228ebbce35cb8de4,,,,,,,,,
47,apache/camel,components/camel-milo/src/main/java/org/apache/camel/component/milo/server/MiloServerComponent.java,MiloServerComponent.java,L568 - L568,git diff 21eece5 7d1a25e components/camel-milo/src/main/java/org/apache/camel/component/milo/server/MiloServerComponent.java,https://github.com/apache/camel/commit/7d1a25eebbe01471bc17bb28ee95fbd48c80a501,,,,,,,,,
48,apache/camel,components/camel-undertow/src/main/java/org/apache/camel/component/undertow/UndertowComponent.java,UndertowComponent.java,L317 - L317,git diff 3bb388a c4aadb3 components/camel-undertow/src/main/java/org/apache/camel/component/undertow/UndertowComponent.java,https://github.com/apache/camel/commit/c4aadb30a12a204d33fd75007d8cbbd353912c69,,,,,,,,,
49,apache/camel,core/camel-xml-io/src/generated/java/org/apache/camel/xml/in/ModelParser.java,ModelParser.java,L2224 - L2231,git diff bf4f3ee 1024317 core/camel-xml-io/src/generated/java/org/apache/camel/xml/in/ModelParser.java,https://github.com/apache/camel/commit/1024317aa54a7605028b9a05623960760f82d144,,,,,,,,,
50,apache/camel,core/camel-xml-io/src/generated/java/org/apache/camel/xml/in/ModelParser.java,ModelParser.java,L2264 - L2270,git diff bf4f3ee 1024317 core/camel-xml-io/src/generated/java/org/apache/camel/xml/in/ModelParser.java,https://github.com/apache/camel/commit/1024317aa54a7605028b9a05623960760f82d144,,,,,,,,,
51,apache/camel,tooling/openapi-rest-dsl-generator/src/main/java/org/apache/camel/generator/openapi/OperationVisitor.java,OperationVisitor.java,L193 - L195,git diff bf4f3ee 1024317 tooling/openapi-rest-dsl-generator/src/main/java/org/apache/camel/generator/openapi/OperationVisitor.java,https://github.com/apache/camel/commit/1024317aa54a7605028b9a05623960760f82d144,,,,,,,,,
52,apache/camel,components/camel-milo/src/main/java/org/apache/camel/component/milo/server/MiloServerComponent.java,MiloServerComponent.java,L143 - L143,git diff 172873c 063c39a components/camel-milo/src/main/java/org/apache/camel/component/milo/server/MiloServerComponent.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
53,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,BaseTypeConverterRegistry.java,L528 - L528,git diff 172873c 063c39a core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
54,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,BaseTypeConverterRegistry.java,L530 - L530,git diff 172873c 063c39a core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
55,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/converter/ToStringTypeConverter.java,ToStringTypeConverter.java,L51 - L51,git diff 172873c 063c39a core/camel-base/src/main/java/org/apache/camel/impl/converter/ToStringTypeConverter.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
56,apache/camel,core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,Pipeline.java,L84 - L84,git diff 172873c 063c39a core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
57,apache/camel,core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,Pipeline.java,L87 - L87,git diff 172873c 063c39a core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
58,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L48 - L48,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
59,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L54 - L54,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
60,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L60 - L60,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
61,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L66 - L66,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
62,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L96 - L96,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
63,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L102 - L102,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
64,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L108 - L108,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
65,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L114 - L114,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
66,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L120 - L120,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
67,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L126 - L126,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
68,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L132 - L132,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
69,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L138 - L138,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
70,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L144 - L144,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
71,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L150 - L150,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
72,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L156 - L156,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
73,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L163 - L163,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
74,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L170 - L170,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
75,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L176 - L176,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
76,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L182 - L182,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
77,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L212 - L212,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
78,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L218 - L218,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
79,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L224 - L224,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
80,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L230 - L230,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
81,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L236 - L236,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
